"","Gender","Age","Education_lev","fluidIQ","freq_calls","freq_Tools","freq_Finance","freq_Games","freq_Entertainment","freq_Productivity","freq_Personalization","freq_News...Magazines","freq_Unknown","freq_Photography","freq_Shopping","freq_Communication","freq_Books...Reference","freq_Travel...Local","freq_Music...Audio","freq_Medical","freq_Education","freq_Business","freq_Lifestyle","freq_Transportation","freq_Weather","freq_Sports","freq_Browser","freq_Health...Fitness","freq_Media...Video","freq_Social","freq_Comics","dur_calls","dur_Tools","dur_Finance","dur_Games","dur_Entertainment","dur_Productivity","dur_Personalization","dur_News...Magazines","dur_Unknown","dur_Photography","dur_Shopping","dur_Communication","dur_Books...Reference","dur_Travel...Local","dur_Music...Audio","dur_Medical","dur_Education","dur_Business","dur_Lifestyle","dur_Transportation","dur_Weather","dur_Sports","dur_Browser","dur_Health...Fitness","dur_Media...Video","dur_Social","dur_Comics","Emotional Stability"
"89","2","25","5","0.1266","85","243","0","0","22","87","0","10","2","56","17","1382","20","33","6","0","0","0","0","59","0","38","270","0","2","614","0","0","6.17029208920089","0","0","51.1323158129276","24.7212375814461","0","0","2.38975682789744","29.9864329699505","72.3567167729421","15.6420730082979","27.1875","78.3743373565208","0","0","0","0","0","52.928246211609","0","39.5072024363093","65.4884658220141","0","0","29.5539956233497","0","0"
"90","2","27","4","1.3434","143","194","31","138","16","182","0","10","51","255","25","2256","7","36","13","0","27","5","37","79","0","0","152","6","18","369","0","0","10.164754608401","91.731943607935","121.694637815824","45.1666666666667","16.9201561171802","0","0","3.13791128117309","24.1755236273453","109.733333333333","32.5116878214196","8","72.5667166114807","2.28000571056603","0","39.3880047118942","5","27.5871498849406","54.8846818828682","0","0","76.0678839967492","0","51","70.6956198715088","0","0"
"91","1","20","4","0.7417","33","390","0","31","46","248","0","8","2626","60","1","953","2","55","206","0","0","31","0","0","0","8","505","363","12","775","0","24.7272727272727","11.0852896679018","0","159.662463157485","542.987518446302","15.692058260117","0","0","2","16.7783431837605","0","18.9735165642083","0","44.194203098229","10.525166553513","0","0","24.4225149766434","0","0","0","58.875","73.1684426606741","27.6417780022093","28.6133977901459","67.8543114178015","0","0"
"92","2","22","4","0.6379","241","177","0","4","125","339","0","13","34","25","16","1549","9","117","18","0","0","66","29","9","0","0","271","0","7","165","0","29.5394190871369","19.4411871887066","0","0","40.2205544577513","50.5707765506974","0","122.288382465109","5.33158079250344","23.2063732881235","57.0260899760561","29.9143113710818","29","60.4250797494579","30.9500518390465","0","0","45.8231897863054","32.3033769028449","66.6666666666667","0","0","76.3153775200071","0","112","48.6107688679152","0","1"
"93","2","26","5","0.539","311","132","0","355","0","192","0","62","16","226","0","1831","4","56","1","0","2","0","0","50","0","0","382","0","0","293","0","110.244372990354","18.8869584567581","0","350.160163279625","0","24.5444109905097","0","104.335489513682","3.32576609002846","15.0767846654","0","34.7856709542951","0","32.9549269703395","22","0","70.5","0","0","39.7878199340639","0","0","42.3441244233156","0","0","56.8439409816994","0","1"
"94","2","19","4","0.8702","128","276","1","19","41","99","0","16","91","214","0","1699","27","20","16","0","0","95","10","119","0","0","708","28","32","10","0","76.8671875","12.4432563765424","5","42.7692307692308","142.717566633424","11.0805428705703","0","29","3.63239659619478","28.1663537068441","0","49.4603409556","18.7943043157541","57.125","11.338593502625","0","0","34.2693206735212","60.9300647880762","62.9751326147287","0","0","77.330968806527","86.8478546414118","89.61492275544","0","0","0"
"95","2","24","5","1.1517","50","310","0","3","9","88","0","4","43","29","0","849","18","35","10","0","9","32","0","26","17","0","102","0","63","0","0","0","37.3362985013135","0","252.741403276601","12","25.3453670234405","0","0","19.461361537045","17.4632327263327","0","61.7779255974344","54.1922453430538","40.4487648450355","130.6","0","20.8571443674989","186.133832654236","0","80.2906614665775","12.974316345382","0","105.454563585321","0","109.018867924528","0","0","0"
"96","2","22","4","0.3459","130","745","0","42","186","35","0","10","148","111","8","1286","5","23","2","0","0","3","8","28","9","0","352","0","4","1177","0","184.146153846154","14.1224482161767","0","442.748178925968","279.231888628567","20.5624378151615","0","0","2.63779287761018","36.9622887438468","60.4572706106567","23.9020437516184","6","55.9745756658923","0","0","0","2","36.5","58.2916734089495","25.5555555555556","0","66.952775642006","0","0","62.3528795922325","0","0"
"97","2","19","4","0.1788","105","2130","2","8","240","734","0","11","1598","1257","30","5383","64","75","87","294","3","65","9","70","38","0","946","20","121","687","0","24.9809523809524","5.25062666631137","1","0","49.315268157929","22.2920244842277","0","0","2.900576304895","14.1443484382474","205.210879832154","29.3071079462755","60.0163811391841","35.2262614866221","10.6855129677286","64.6260746481609","2","15.4976097234397","73","47.7675351818887","7.91744029634426","0","65.9671261234986","213.337123176381","1.74167644168527","84.9921443500081","0","1"
"98","1","19","4","0.4926","43","151","0","0","39","254","0","0","1999","114","0","1671","38","19","228","0","0","0","0","78","22","0","111","0","0","0","0","51.046511627907","89.6993233914711","0","0","46.627199342232","24.4035944744999","0","0","2.75517922732318","24.1324647968927","0","38.8719692855453","27.6250353045823","47.4166666666667","18.649207978198","0","0","0","0","52.7676942449173","12.6360167120364","0","82.3847916278534","0","0","0","0","1"
