,Gender,Age,Education_lev,fluidIQ,freq_calls,freq_Tools,freq_Finance,freq_Games,freq_Entertainment,freq_Productivity,freq_Personalization,freq_News...Magazines,freq_Unknown,freq_Photography,freq_Shopping,freq_Communication,freq_Books...Reference,freq_Travel...Local,freq_Music...Audio,freq_Medical,freq_Education,freq_Business,freq_Lifestyle,freq_Transportation,freq_Weather,freq_Sports,freq_Browser,freq_Health...Fitness,freq_Media...Video,freq_Social,freq_Comics,dur_calls,dur_Tools,dur_Finance,dur_Games,dur_Entertainment,dur_Productivity,dur_Personalization,dur_News...Magazines,dur_Unknown,dur_Photography,dur_Shopping,dur_Communication,dur_Books...Reference,dur_Travel...Local,dur_Music...Audio,dur_Medical,dur_Education,dur_Business,dur_Lifestyle,dur_Transportation,dur_Weather,dur_Sports,dur_Browser,dur_Health...Fitness,dur_Media...Video,dur_Social,dur_Comics
36,2,26,4,0.6427,139,393,0,0,175,118,0,12,53,85,0,2348,16,34,21,0,0,21,5,100,1,0,1453,0,15,10,0,7.050359712000001,11.63408056,0.0,0.0,268.4469222,25.89774325,0.0,0.0,2.662403242,21.12235361,0.0,34.48126974,11.23002055,53.29876678,4.135406515,0.0,0.0,38.760064,72.8,50.14467796,2.0,0.0,87.01818762,0.0,60.43196208,78.0,0.0
129,2,23,5,1.2624,260,455,4,32,76,312,1,5,78,48,73,3561,28,95,71,0,2,2,47,207,2,0,322,234,0,471,5,63.26153846,15.62569802,10.0,67.09622626,22.51541153,14.30119568,4.0,12.0,2.0,18.99203969,26.37029046,13.19314158,39.75506204,59.78773231,5.374709734,0.0,218.0,32.0,13.90455312,21.54636228,0.0,0.0,29.37396529,8.966434533,0.0,36.94587683,62.08015935
58,1,23,4,-0.3345,62,68,0,0,13,45,0,0,729,56,0,653,4,13,150,0,0,0,0,17,0,0,27,6,3,141,0,38.88709677,16.69507981,0.0,0.0,59.5645531,19.82615302,0.0,0.0,8.22876124,34.04869912,0.0,37.28746033,0.0,44.21010701,35.47648931,0.0,0.0,0.0,0.0,52.75,0.0,0.0,33.38537012,0.0,2.0,70.28571949,0.0
33,1,21,4,1.0549,84,1420,43,370,311,120,15,213,1417,226,17,1773,4,42,296,0,109,34,150,68,12,1,321,26,5,37,0,66.0952381,1.993703089,58.41399216,13.36514225,99.1357757,10.47795286,2.995008098,105.5207751,3.364168769,7.402690439,34.02404745,11.62801215,0.0,45.41917328,9.786285741,0.0,2.369871406,16.19671864,13.9410473,34.43194967,18.29911854,14.0,37.516518299999994,13.61000882,4.0,3.9900111369999998,0.0
15,2,19,4,0.9034,253,300,0,0,19,55,0,22,14,227,0,2083,13,24,7,0,0,12,0,48,6,0,99,0,13,275,0,0.0,24.80403033,0.0,0.0,51.33335123,42.26528563,0.0,18.67823832,2.798900498,26.22566118,0.0,27.12344478,74.0712812,77.70095141,0.0,0.0,0.0,23.83333333,0.0,70.93586182,2.0,0.0,70.28008677,0.0,36.85714286,100.38250620000001,0.0
57,2,30,4,0.4939,96,303,0,447,32,232,0,30,16,154,15,1843,0,33,9,0,0,0,55,0,0,5,382,6,19,776,0,4.0625,13.84350809,0.0,356.49118510000005,61.03919445,28.41402921,0.0,10.95505012,3.3315357530000003,17.460053,50.18181818,27.77813924,0.0,46.4747372,1.0,0.0,0.0,0.0,70.87319401,0.0,0.0,2.0,90.78980158,9.0,63.02752122,66.82189018,0.0
12,2,27,2,0.6785,178,373,0,0,26,68,0,6,30,196,0,2255,19,12,8,0,0,14,122,0,0,0,25,0,143,460,0,459.05056179999997,27.94215925,0.0,0.0,140.42364619999998,34.17303872,0.0,0.0,2.636720743,23.27243976,0.0,30.02038278,20.62430508,32.0,33.0,0.0,0.0,44.42008285,48.85797653,0.0,0.0,0.0,98.05834473,0.0,40.17784274,107.39091189999999,0.0
93,2,19,4,0.8702,128,276,1,19,41,99,0,16,91,214,0,1699,27,20,16,0,0,95,10,119,0,0,708,28,32,10,0,76.8671875,12.44325638,5.0,42.76923077,142.7175666,11.08054287,0.0,29.0,3.6323965960000004,28.16635371,0.0,49.46034096,18.79430432,57.125,11.3385935,0.0,0.0,34.26932067,60.93006479,62.97513261,0.0,0.0,77.33096881,86.84785464,89.61492276,0.0,0.0
55,1,27,5,0.4087,618,1397,20,22,221,853,13,230,1100,180,3,2733,38,127,279,0,7,23,45,12,2,67,1067,11,99,255,0,91.45469256,9.555894231,46.73848231,126.61621140000001,9.765227954,13.94041939,10.4760266,53.06306362,5.019853076,6.368620898,20.95005569,13.62429205,36.77329511,63.11027402,12.22343817,0.0,5.485018257999999,14.9657506,39.9114419,27.43407826,131.0,15.47434518,52.32875844,42.96574922,15.92155358,26.51113534,0.0
125,2,25,5,0.5943,461,195,47,0,22,118,0,8,22,425,0,3071,34,140,87,54,33,13,26,165,22,0,496,26,4,122,0,75.12581345,20.67767657,13.35797201,0.0,70.21928492,25.37823657,0.0,0.0,2.797539243,11.70197542,0.0,18.41739316,38.94672474,38.78339262,22.75491292,2.0,25.65223942,52.14196768,16.16192603,38.15855024,30.38895206,0.0,56.55365539,39.02461412,0.0,52.76816976,0.0
88,2,25,5,0.1266,85,243,0,0,22,87,0,10,2,56,17,1382,20,33,6,0,0,0,0,59,0,38,270,0,2,614,0,0.0,6.170292089,0.0,0.0,51.13231581,24.72123758,0.0,0.0,2.3897568280000003,29.98643297,72.35671677,15.64207301,27.1875,78.37433736,0.0,0.0,0.0,0.0,0.0,52.92824621,0.0,39.50720244,65.48846582,0.0,0.0,29.55399562,0.0
