,Gender,Age,Education_lev,fluidIQ,freq_calls,freq_Tools,freq_Finance,freq_Games,freq_Entertainment,freq_Productivity,freq_Personalization,freq_News...Magazines,freq_Unknown,freq_Photography,freq_Shopping,freq_Communication,freq_Books...Reference,freq_Travel...Local,freq_Music...Audio,freq_Medical,freq_Education,freq_Business,freq_Lifestyle,freq_Transportation,freq_Weather,freq_Sports,freq_Browser,freq_Health...Fitness,freq_Media...Video,freq_Social,freq_Comics,dur_calls,dur_Tools,dur_Finance,dur_Games,dur_Entertainment,dur_Productivity,dur_Personalization,dur_News...Magazines,dur_Unknown,dur_Photography,dur_Shopping,dur_Communication,dur_Books...Reference,dur_Travel...Local,dur_Music...Audio,dur_Medical,dur_Education,dur_Business,dur_Lifestyle,dur_Transportation,dur_Weather,dur_Sports,dur_Browser,dur_Health...Fitness,dur_Media...Video,dur_Social,dur_Comics,Emotional Stability,Extraversion,Openness,Conscientiousness,Openness
39,1,22,4,0.8775,22,286,45,153,71,111,0,56,18,33,10,636,19,42,141,0,0,8,0,69,17,30,70,14,9,56,0,47.72727273,23.95321953,53.11009867,318.9704465,67.59333689,32.19167175,0,44.27511561,2,19.21232776,0,38.67716324,19.55555556,46.89267854,12.59983913,0,0,51,0,50.30886517,15.53846154,77.84019083,104.4304371,17.5571593,2,64.07199203,0,1,0,0,1,0
40,2,19,4,1.3901,378,127,0,16,3,11,0,4,10,56,0,1267,0,19,52,48,0,4,0,18,0,0,45,0,2,32,0,47.0026455,27.71486918,0,92.35224077,92.56049003,33.63636364,0,0,3.354680025,36.8992495,0,28.47688512,0,107.9683548,14.24551809,10.29455523,0,119.75,0,66.5438173,0,0,61.35535566,0,0,55.12156425,0,0,1,1,0,1
41,2,23,4,2.4034,471,544,0,172,43,494,0,20,70,121,0,3750,2,266,16,47,0,28,2,119,2,6,612,2,7,809,0,133.6815287,16.45441417,0,283.2923773,73.08533289,22.4064694,0,0,3.630879445,43.77597042,0,18.20102451,0,55.00074317,35,2,0,77.08779302,0,62.42299779,3.5,127.0998886,64.18771989,0,152,51.56239677,0,0,0,0,0,0
42,1,33,4,-0.0822,1300,488,11,31,363,435,0,216,122,59,164,5533,9,341,14,4,2,16,222,244,26,0,582,46,54,2142,0,122.8061538,22.54629108,12,44,103.6181075,33.2556271,0,10.21194491,9.242886062,19.01544862,39.29528275,19.3479124,92,52.29924406,70,21.5,6,26.3154665,32.50529887,55.76145692,13.75955589,0,53.69546766,32.91005961,39.79067784,41.70517535,0,0,0,0,0,0
43,2,22,4,-0.3989,568,2077,0,0,178,336,0,126,1603,1316,100,8357,4,100,190,0,1,14,2,169,0,0,2448,6,45,1071,0,78.375,1.73494354,0,0,31.54694315,14.24477636,0,74.43484048,2.051138152,10.56095277,63.01694011,17.65581073,46.67019882,36.03560524,10.9078279,0,1,24.20925373,14.5,34.48681926,0,0,69.11076215,3.485016706,10.37944928,61.97420899,0,1,1,1,1,1
44,2,23,4,0.203,147,620,0,65,187,60,0,26,294,56,0,1521,82,25,45,0,0,25,0,4,0,0,251,84,2,126,0,0,3.934568996,0,137.2965692,221.9152318,19.22117622,0,77.36021248,2.445225237,21.47346294,0,30.63793485,23.71154723,52.6376323,7.186493396,0,0,29.05914295,0,82.25,0,0,85.91002258,22.75505213,109.5,279.4836736,0,1,1,1,0,1
45,2,24,5,-0.0598,62,191,0,60,12,210,0,15,21,156,0,1113,17,58,89,0,23,32,0,48,5,0,192,0,20,10,0,0,18.35142117,0,149.9871882,0,18.39979351,0,3,3.271281506,45.83011148,0,65.05453473,58.73365022,70.63607522,15.61729551,0,647.2155824,49.80523805,0,49.81001049,21,0,123.3811328,0,138,0,0,0,0,0,0,0
46,2,21,4,0.9461,401,237,0,210,10,54,0,16,25,131,12,1993,69,73,12,0,22,40,34,91,17,0,343,0,15,608,0,157.723192,9.027679632,0,333.5608789,11,12.73424382,0,0,4.762248859,38.09178873,31.63805921,29.47633052,48.01937878,78.00985337,0,0,12.5,33.72844888,33.25342913,54.92106274,23.73751348,0,67.40755805,0,50.85016403,79.18397059,0,0,0,0,1,0
47,2,21,4,0.7341,101,17,0,81,8,193,0,3,11,2,0,481,0,42,0,0,0,47,0,0,0,0,121,0,0,234,0,20.98019802,30.01609774,0,123.8338659,240,30.60604202,0,33,9.906606323,58.5,0,48.58303342,0,60.50374259,0,0,0,34.31111111,0,0,0,0,97.41992011,0,0,164.2363824,0,0,0,1,0,1
48,1,20,4,-0.2055,135,277,0,0,0,367,0,2,144,152,0,1379,0,9,612,0,42,0,0,0,0,0,1033,0,4,0,0,22.32592593,9.453412449,0,0,0,12.05295697,0,0,2.887218069,34.91968777,0,32.61346502,0,60.8,11.10388447,0,51.12939961,0,0,0,0,0,84.7066002,0,2,0,0,0,0,0,1,0
