"Name","Category_old","Category_new"
"Uhren Widget","Unknown","Tools"
"UKW-Radio","Unknown","Music & Audio"
"UKW-Radio","Media &amp; Video","Music & Audio"
"Urlaubs-Planer","Unknown","Travel & Local"
"Urlaubsgruss","Travel &amp; Local","Travel & Local"
"VCalendar","Unknown","Productivity"
"Video-Editor","Unknown","Tools"
"Video anzeigen","Media &amp; Video","Media & Video"
"Video Converter(Yt)","Unknown","Media & Video"
"Video Editor","Unknown","Tools"
"Video Hub","Unknown","Media & Video"
"Video Player","Unknown","Media & Video"
"Video Studio","Unknown","Media & Video"
"Video Trim","Unknown","Tools"
"Video Trimmer","Unknown","Tools"
"Video Unlimited","Media &amp; Video","Media & Video"
"Videobearbeitung","Unknown","Media & Video"
"Videoclip-Studio","Unknown","Media & Video"
"VideoEdit+","Photography","Tools"
"Videoeditor","Unknown","Tools"
"videoeditorsoftwareta","Unknown","Tools"
"VIDEOHIGHLIGHTS","Unknown","Media & Video"
"Videokamera der Gruppe","Unknown","Photography"
"Videoplayer","Unknown","Media & Video"
"Videos","Unknown","Media & Video"
"VivaVideo","Media &amp; Video","Media & Video"
"VLC Direct","Media &amp; Video","Media & Video"
"Voice Recorder","Unknown","Productivity"
"Vooh!","Unknown","Tools"
"Wörterbuch","Unknown","Books & Reference"
"Wörterbuch","Books &amp; Reference","Books & Reference"
"Walkman","Music &amp; Audio","Music & Audio"
"Weather widget","Unknown","Weather"
"Weather Widget","Unknown","Weather"
"Weather Widget Main","Unknown","Weather"
"WeatherClockWidgetAgent","Unknown","Tools"
"Wecker Xtreme gratis","Productivity","Tools"
"Wecker/Uhr","Unknown","Tools"
"WEFUNK Radio","Music &amp; Audio","Music & Audio"
"Weltuhr","Unknown","Tools"
"Weltuhr-Widget","Unknown","Tools"
"Weltzeituhr","Unknown","Tools"
"Wetter-Uhr Widget","Unknown","Tools"
"Wetter-Widget","Unknown","Weather"
"Wetter-Widgets","Unknown","Weather"
"Wetteransicht Wind","Unknown","Weather"
"Wetterthema","Unknown","Weather"
"Wettervideo","Unknown","Media & Video"
"WeVideo","Media &amp; Video","Media & Video"
"WiFi Map","Travel &amp; Local","Tools"
"WiFinder","Communication","Tools"
"WifiPassword","Unknown","Tools"
"Windy weather","Unknown","Weather"
"Windy Weather","Unknown","Weather"
"Woerterbuch","Education","Books & Reference"
"Workout Trainer","Health &amp; Fitness","Health & Fitness"
"Yahoo! Finance","Unknown","Finance"
"Yahoo! Finanzen","Unknown","Finance"
"Yahoo! News","Unknown","News & Magazines"
"Yonhap news","Unknown","News & Magazines"
"YOU DON'T KNOW JACK","Unknown","Trivia"
"Zattoo TV","Media &amp; Video","Entertainment"
"ZeroEditing","Unknown","Tools"
"Zinio","Unknown","News & Magazines"
"Zinio","News &amp; Magazines","News & Magazines"
"Zuschneiden","Unknown","Tools"
